id,employees,earnings,expenses,founded in
Lynch-Rolfson,675,290814,155469,2004
Hane-Leannon,740,208842,232868,1997
Reinger-Hamill,742,942917,176172,2014
"Schmitt, Ratke and Okuneva",683,695399,139004,2002
Beatty LLC,457,932901,74328,2000
"Lowe, Kihn and Mosciski",733,800778,109031,1995
Kemmer-Rice,248,263681,286585,1991
Koch LLC,747,154970,178495,1996
Thompson-Williamson,60,123261,291818,2003
Lind and Sons,314,94158,99791,1998
Herman-Howe,702,662048,279208,2004
Jones LLC,898,158515,239255,1996
"Stamm, Dicki and Russel",101,954492,12232,2011
"Berge, Carter and Abshire",886,981944,259166,2005
Bode Inc,167,565355,31020,1994
"Johnson, Metz and O'Hara",593,995842,222586,2005
Windler-Bergnaum,267,812209,189770,2007
Schmeler LLC,368,816708,216716,1999
Grant and Sons,826,388703,78488,2014
"Rowe, McDermott and Cronin",179,536169,136791,2008
"Will, Marks and Cummerata",380,534568,297599,1994
Luettgen-Langworth,746,789743,108112,1996
"Bergnaum, Vandervort and Marks",651,754065,276324,2013
"Kemmer, Raynor and Kiehn",212,473319,283088,1991
Rempel LLC,840,971845,103785,2003
Dietrich Group,748,890782,221037,1994
Rosenbaum-Lueilwitz,717,322620,138183,2016
Hudson-Hoppe,666,635061,96697,2006
"Krajcik, Beatty and Brakus",826,236904,217945,1993
"Denesik, VonRueden and Robel",70,434210,258397,1992
Wisozk and Sons,269,388935,37309,2007
"Yundt, Rosenbaum and Adams",66,870127,241797,1995
Kiehn-Breitenberg,191,243128,12784,2000
Reinger-Zboncak,693,600629,107982,1990
"Beahan, Stamm and Simonis",110,304771,276290,1996
Boyle Inc,387,347744,35033,1992
"Mueller, Becker and Collier",413,284774,222832,1999
Murray Group,491,902175,93622,2015
Hettinger LLC,825,749344,93774,2000
"Schmeler, Rath and Stiedemann",558,929503,84934,2005
Glover-Wolf,215,274044,162273,2015
"Tromp, Waelchi and Aufderhar",559,518288,181349,2016
Witting-Beer,638,348616,97874,2016
Hirthe Group,433,434807,15401,2006
Herzog Inc,660,114944,214290,2001
Hoeger-Schamberger,985,332815,101994,1996
O'Keefe-Gottlieb,125,136081,101132,2004
Rempel LLC,47,402327,236992,2013
"Conroy, Keebler and Torp",855,704997,185592,1992
Oberbrunner-Senger,832,395546,254019,1996
"Medhurst, Kshlerin and Grady",756,644464,232675,2003
"Hand, Ziemann and Koch",117,625208,71468,2014
Sauer Inc,341,964470,250537,2010
Haley and Sons,674,835218,196319,2009
Deckow Group,68,558445,195750,1993
